sex	bmi_cat	chao1	observed_otus	shannon	simpson
female	Normal	258.0630593245827	150.0514692982457	5.391043994827561	0.9288049426315798
female	Obese	223.87126863164085	129.0651851851852	5.038885847545231	0.9207664188888891
female	Overweight	249.5559817542917	143.31545454545457	5.258262280276345	0.9247989573737374
female	Underweight	240.19188505842303	138.64749999999998	5.106534094396975	0.9118357895833337
male	Normal	251.97452038560064	145.43400479616292	5.294246829981133	0.924778066714628
male	Obese	246.4137979362899	141.68899999999996	5.178444371339089	0.9081404786666665
male	Overweight	252.1799486817798	145.1159817351598	5.275909332909512	0.9251956310502285
male	Underweight	204.3762061131599	116.81136363636364	4.675530358526422	0.8817471863636364
