f__Bacillaceae	 o__Bacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	0.00555081384392
f__Flavobacteriaceae	 o__Flavobacteriales	 c__Flavobacteriia	 p__Bacteroidetes	k__Bacteria	0.000420179557501
f__	 o__Gemmatimonadales	 c__Gemmatimonadetes	 p__Gemmatimonadetes	k__Bacteria	1.7568240816e-06
f__Anaerolinaceae	 o__Anaerolineales	 c__Anaerolineae	 p__Chloroflexi	k__Bacteria	4.75134621476e-07
f__	 o__Ellin6513	 c__DA052	 p__Acidobacteria	k__Bacteria	8.37155061866e-07
f__	 o__Streptophyta	 c__Chloroplast	 p__Cyanobacteria	k__Bacteria	0.000249284831326
f__Legionellaceae	 o__Legionellales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	1.75167230194e-05
f__Koribacteraceae	 o__Acidobacteriales	 c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	1.16795396432e-06
f__	 o__SHA-98	 c__Clostridia	 p__Firmicutes	k__Bacteria	6.09313806579e-05
f__	 o__	 c__Gitt-GS-136	 p__Chloroflexi	k__Bacteria	7.92329329882e-07
f__Fusobacteriaceae	 o__Fusobacteriales	 c__Fusobacteriia	 p__Fusobacteria	k__Bacteria	0.00122588766169
f__Bacteriovoracaceae	 o__Bdellovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	3.36740955204e-07
f__Methylobacteriaceae	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	2.49713266831e-05
f__Pasteurellaceae	 o__Pasteurellales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.00119097088686
f__Promicromonosporaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	2.3772962413e-05
f__Deinococcaceae	 o__Deinococcales	 c__Deinococci	 p__[Thermi]	k__Bacteria	1.20425787432e-06
f__[Exiguobacteraceae]	 o__Bacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	1.9345150947e-05
f__Sphingomonadaceae	 o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.000502871306927
f__Enterobacteriaceae	 o__Enterobacteriales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.0144266408993
f__Sphingobacteriaceae	 o__Sphingobacteriales	 c__Sphingobacteriia	 p__Bacteroidetes	k__Bacteria	0.000457316670374
f__Methylocystaceae	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	1.35423339453e-06
f__Rhodobacteraceae	 o__Rhodobacterales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	6.80937607174e-05
f__Nocardioidaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	3.11922247843e-06
f__Desulfobulbaceae	 o__Desulfobacterales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	5.09983380006e-07
f__Brucellaceae	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.000453374743194
