f__	 o__	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	f__Promicromonosporaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	0.12790290039	1.95513556583e-06
f__	 o__	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	f__Brucellaceae	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.130130660684	1.28807063572e-06
f__	 o__	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	f__SUP05	 o__Oceanospirillales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.151315752303	1.71707305397e-08
f__Nocardiaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	f__Rhizobiaceae	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.242738281209	6.87084570674e-20
f__Nocardiaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	f__Moraxellaceae	 o__Pseudomonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.131914843994	9.17525233251e-07
f__Nocardiaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	f__	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.19234838717	6.32656633184e-13
f__Nocardiaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	f__Xanthomonadaceae	 o__Xanthomonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.205620476701	1.35961237812e-14
f__Nocardiaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	f__[Weeksellaceae]	 o__Flavobacteriales	 c__Flavobacteriia	 p__Bacteroidetes	k__Bacteria	0.15360471842	1.03653289492e-08
f__Nocardiaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	f__Streptomycetaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	0.171373206075	1.59204285375e-10
f__Nocardiaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	f__Bacillaceae	 o__Bacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	0.164693803368	8.07474176301e-10
f__Nocardiaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	f__Promicromonosporaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	0.165848183375	6.12747557539e-10
f__Nocardiaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	f__Enterobacteriaceae	 o__Enterobacteriales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.182905452965	8.2651270717e-12
f__Nocardiaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	f__Sphingobacteriaceae	 o__Sphingobacteriales	 c__Sphingobacteriia	 p__Bacteroidetes	k__Bacteria	0.156227745209	5.75919393569e-09
f__Nocardiaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	f__Brucellaceae	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.155363712652	6.99693464873e-09
f__Nocardiaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	f__Paenibacillaceae	 o__Bacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	0.152905754261	1.21022711761e-08
f__Nocardiaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	f__Caulobacteraceae	 o__Caulobacterales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.15407048816	9.34496551313e-09
f__Nocardiaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	f__Pseudomonadaceae	 o__Pseudomonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.18170543321	1.1348250434e-11
f__Nocardiaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	f__Aurantimonadaceae	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.160863235739	1.98965182893e-09
f__	 o__	 c__	 p__SR1	k__Bacteria	f__Neisseriaceae	 o__Neisseriales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	0.163830658311	9.91261985662e-10
f__	 o__	 c__	 p__SR1	k__Bacteria	f__	 o__CW040	 c__TM7-3	 p__TM7	k__Bacteria	0.126613703428	2.48133794646e-06
f__	 o__	 c__	 p__SR1	k__Bacteria	f__Flavobacteriaceae	 o__Flavobacteriales	 c__Flavobacteriia	 p__Bacteroidetes	k__Bacteria	0.166151548384	5.69700038485e-10
f__	 o__	 c__	 p__SR1	k__Bacteria	f__Burkholderiaceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	0.131257890585	1.0401313893e-06
f__	 o__	 c__	 p__SR1	k__Bacteria	f__Carnobacteriaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	0.135443722279	4.62946096112e-07
f__	 o__	 c__	 p__SR1	k__Bacteria	f__Alicyclobacillaceae	 o__Bacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	0.151936875718	1.49840456167e-08
f__	 o__	 c__Clostridia	 p__Firmicutes	k__Bacteria	f__Ectothiorhodospiraceae	 o__Chromatiales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.137146979105	3.30687670053e-07
f__	 o__	 c__Clostridia	 p__Firmicutes	k__Bacteria	f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.133737761237	6.45801033081e-07
f__	 o__	 c__Clostridia	 p__Firmicutes	k__Bacteria	f__Clostridiaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.136042556541	4.11492669695e-07
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__Peptococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.220861822516	1.1826476884e-16
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__	 o__YS2	 c__4C0d-2	 p__Cyanobacteria	k__Bacteria	0.253244773157	1.45720988464e-21
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__R4-45B	 o__Z20	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	0.137124865436	3.32143970549e-07
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__[Cerasicoccaceae]	 o__[Cerasicoccales]	 c__Opitutae	 p__Verrucomicrobia	k__Bacteria	0.204619445085	1.83349962552e-14
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.158424202157	3.49405639835e-09
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__S24-7	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__Bacteria	0.25753404149	2.86820759435e-22
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__Bacteria	0.163064085679	1.1881977983e-09
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.264677244505	1.78826110921e-23
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__	 o__SHA-98	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.25480966801	8.08189821898e-22
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__Methanobacteriaceae	 o__Methanobacteriales	 c__Methanobacteria	 p__Euryarchaeota	k__Archaea	0.29395797793	8.25722276892e-29
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__	 o__RF32	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.275708797157	2.07814251518e-25
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__Anaeroplasmataceae	 o__Anaeroplasmatales	 c__Mollicutes	 p__Tenericutes	k__Bacteria	0.1301037862	1.29462489444e-06
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__Dehalobacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.219314116018	1.9466020473e-16
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__Christensenellaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.338023604774	4.24056878175e-38
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__Prevotellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__Bacteria	0.154846632159	7.85743750144e-09
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__Oxalobacteraceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	0.245628570076	2.42364111471e-20
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__Elusimicrobiaceae	 o__Elusimicrobiales	 c__Elusimicrobia	 p__Elusimicrobia	k__Bacteria	0.175931754053	5.06229075203e-11
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__[Mogibacteriaceae]	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.128269725052	1.82616903534e-06
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__EtOH8	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.16408245659	9.33805580456e-10
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__[Barnesiellaceae]	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__Bacteria	0.224599664011	3.49481947273e-17
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__Synergistaceae	 o__Synergistales	 c__Synergistia	 p__Synergistetes	k__Bacteria	0.185540389168	4.08944487443e-12
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__Desulfovibrionaceae	 o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	0.156339785556	5.61518716447e-09
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__Bacteria	0.180566022457	1.53035474286e-11
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__Bacteria	-0.156463439378	5.46031506207e-09
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__Bacteria	0.273301560677	5.59178079442e-25
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__[Paraprevotellaceae]	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__Bacteria	0.191956219435	7.05795372711e-13
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	f__[Odoribacteraceae]	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__Bacteria	0.297468342268	1.71183776956e-29
f__Helicobacteraceae	 o__Campylobacterales	 c__Epsilonproteobacteria	 p__Proteobacteria	k__Bacteria	f__Dermacoccaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	0.138260538833	2.64808896453e-07
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__[Balneolaceae]	 o__[Rhodothermales]	 c__[Rhodothermi]	 p__Bacteroidetes	k__Bacteria	0.707364051263	4.06356942349e-209
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__Iamiaceae	 o__Acidimicrobiales	 c__Acidimicrobiia	 p__Actinobacteria	k__Bacteria	0.5	7.28904418114e-88
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__Saccharospirillaceae	 o__Oceanospirillales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.707364051263	4.06356942349e-209
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__Koribacteraceae	 o__Acidobacteriales	 c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	0.1398099731	1.93827652809e-07
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__	 o__	 c__Gitt-GS-136	 p__Chloroflexi	k__Bacteria	0.315882015175	3.09435636221e-33
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__Deinococcaceae	 o__Deinococcales	 c__Deinococci	 p__[Thermi]	k__Bacteria	0.314036111079	7.54967045786e-33
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__Methylocystaceae	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.161210334929	1.83514460235e-09
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__Nocardioidaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	0.287832699717	1.22047981835e-27
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__Desulfobulbaceae	 o__Desulfobacterales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	0.707364051263	4.06356942349e-209
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__Crenotrichaceae	 o__Methylococcales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.5	7.28904418114e-88
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__Phyllobacteriaceae	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.23372205766	1.62528731213e-18
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__	 o__Solirubrobacterales	 c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	0.153227551843	1.12701017719e-08
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__Chitinophagaceae	 o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	0.194753165797	3.218270561e-13
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__	 o__Acidimicrobiales	 c__Acidimicrobiia	 p__Actinobacteria	k__Bacteria	0.203377989409	2.65099206772e-14
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__Hyphomicrobiaceae	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.142534565413	1.11055492214e-07
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__Sporichthyaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	0.353295792597	1.07960302605e-41
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__Shewanellaceae	 o__Alteromonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.234755453995	1.13853080996e-18
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__Brachyspiraceae	 o__[Brachyspirales]	 c__[Brachyspirae]	 p__Spirochaetes	k__Bacteria	0.220992009581	1.13390399116e-16
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__Micromonosporaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	0.234066523105	1.4437246318e-18
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__	 o__BPC076	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	0.707364051263	4.06356942349e-209
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__Gaiellaceae	 o__Gaiellales	 c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	0.146304818103	5.04997503187e-08
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	f__Methylophilaceae	 o__Methylophilales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	0.132629105135	8.00015603536e-07
f__Comamonadaceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	f__Rhizobiaceae	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.1736583831	8.99849825827e-11
f__Comamonadaceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	f__Moraxellaceae	 o__Pseudomonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.227398065963	1.38286334011e-17
f__Comamonadaceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	f__	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.175530988757	5.60568005474e-11
f__Comamonadaceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	f__Xanthomonadaceae	 o__Xanthomonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.218001857823	2.96139592577e-16
f__Comamonadaceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	f__Bradyrhizobiaceae	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.177634794327	3.27358863204e-11
f__Comamonadaceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	f__Conexibacteraceae	 o__Solirubrobacterales	 c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	0.130438744411	1.21517550955e-06
f__Comamonadaceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	f__[Weeksellaceae]	 o__Flavobacteriales	 c__Flavobacteriia	 p__Bacteroidetes	k__Bacteria	0.162664980613	1.30531674396e-09
f__Comamonadaceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	f__Flavobacteriaceae	 o__Flavobacteriales	 c__Flavobacteriia	 p__Bacteroidetes	k__Bacteria	0.131730078353	9.50526144054e-07
f__Comamonadaceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	f__	 o__Ellin6513	 c__DA052	 p__Acidobacteria	k__Bacteria	0.147104557303	4.26149402171e-08
f__Comamonadaceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	f__Koribacteraceae	 o__Acidobacteriales	 c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	0.139053068468	2.25839672736e-07
f__Comamonadaceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	f__Methylobacteriaceae	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.142902813181	1.02919656924e-07
f__Comamonadaceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	f__Sphingomonadaceae	 o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.292368791481	1.67138109183e-28
f__Comamonadaceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	f__Enterobacteriaceae	 o__Enterobacteriales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.153171867705	1.14100141113e-08
