c__4C0d-2	 p__Cyanobacteria	k__Bacteria	c__Verrucomicrobiae	 p__Verrucomicrobia	k__Bacteria	0.121871433283	5.84538894786e-06
c__4C0d-2	 p__Cyanobacteria	k__Bacteria	c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.314888799521	5.00419270412e-33
c__4C0d-2	 p__Cyanobacteria	k__Bacteria	c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	0.170962859094	1.7623646645e-10
c__4C0d-2	 p__Cyanobacteria	k__Bacteria	c__RF3	 p__Tenericutes	k__Bacteria	0.167478419257	4.13610781589e-10
c__4C0d-2	 p__Cyanobacteria	k__Bacteria	c__Actinobacteria	 p__Actinobacteria	k__Bacteria	-0.151458553584	1.66421242618e-08
c__4C0d-2	 p__Cyanobacteria	k__Bacteria	c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	0.25343830046	1.35505656612e-21
c__4C0d-2	 p__Cyanobacteria	k__Bacteria	c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	0.154105390775	9.27256208626e-09
c__4C0d-2	 p__Cyanobacteria	k__Bacteria	c__Mollicutes	 p__Tenericutes	k__Bacteria	0.221913625305	8.41093513227e-17
c__4C0d-2	 p__Cyanobacteria	k__Bacteria	c__Methanobacteria	 p__Euryarchaeota	k__Archaea	0.142637411444	1.0872274311e-07
c__4C0d-2	 p__Cyanobacteria	k__Bacteria	c__Synergistia	 p__Synergistetes	k__Bacteria	0.138321795673	2.6157899761e-07
c__Clostridia	 p__Firmicutes	k__Bacteria	c__Erysipelotrichi	 p__Firmicutes	k__Bacteria	0.249214976639	6.5266698458e-21
c__Clostridia	 p__Firmicutes	k__Bacteria	c__Actinobacteria	 p__Actinobacteria	k__Bacteria	0.19899385128	9.56506462518e-14
c__Clostridia	 p__Firmicutes	k__Bacteria	c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	-0.160895037718	1.97498446972e-09
c__Clostridia	 p__Firmicutes	k__Bacteria	c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	-0.283051754664	9.54137783129e-27
c__Clostridia	 p__Firmicutes	k__Bacteria	c__Mollicutes	 p__Tenericutes	k__Bacteria	0.200985690087	5.35898071978e-14
c__Clostridia	 p__Firmicutes	k__Bacteria	c__Methanobacteria	 p__Euryarchaeota	k__Archaea	0.109527127817	4.70271570256e-05
c__Verrucomicrobiae	 p__Verrucomicrobia	k__Bacteria	c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.169824055644	2.33364108537e-10
c__Verrucomicrobiae	 p__Verrucomicrobia	k__Bacteria	c__Erysipelotrichi	 p__Firmicutes	k__Bacteria	-0.124733679634	3.49810550562e-06
c__Verrucomicrobiae	 p__Verrucomicrobia	k__Bacteria	c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	0.153878692133	9.75273820749e-09
c__Verrucomicrobiae	 p__Verrucomicrobia	k__Bacteria	c__RF3	 p__Tenericutes	k__Bacteria	0.203901026804	2.27023265895e-14
c__Verrucomicrobiae	 p__Verrucomicrobia	k__Bacteria	c__Actinobacteria	 p__Actinobacteria	k__Bacteria	-0.11020817018	4.21454212283e-05
c__Verrucomicrobiae	 p__Verrucomicrobia	k__Bacteria	c__Mollicutes	 p__Tenericutes	k__Bacteria	0.196147174396	2.16629152294e-13
c__Verrucomicrobiae	 p__Verrucomicrobia	k__Bacteria	c__Methanobacteria	 p__Euryarchaeota	k__Archaea	0.185063399997	4.64854610205e-12
c__Verrucomicrobiae	 p__Verrucomicrobia	k__Bacteria	c__Synergistia	 p__Synergistetes	k__Bacteria	0.164489617239	8.4769430536e-10
c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	0.137643997494	2.9953474972e-07
c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	c__RF3	 p__Tenericutes	k__Bacteria	0.184405647871	5.54393264331e-12
c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	c__Flavobacteriia	 p__Bacteroidetes	k__Bacteria	0.19588595215	2.33360685529e-13
c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	0.227299643262	1.42899997117e-17
c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	0.245535697206	2.506696276e-20
c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.177669466575	3.24451879549e-11
c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	c__Mollicutes	 p__Tenericutes	k__Bacteria	0.182228999824	9.88494605149e-12
c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	c__Methanobacteria	 p__Euryarchaeota	k__Archaea	0.130905583999	1.11222095311e-06
c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	c__Sphingobacteriia	 p__Bacteroidetes	k__Bacteria	0.151843143506	1.52957976742e-08
c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	c__Chloroplast	 p__Cyanobacteria	k__Bacteria	0.116677711576	1.44169911549e-05
c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	c__Synergistia	 p__Synergistetes	k__Bacteria	0.141231434366	1.45142697477e-07
c__Erysipelotrichi	 p__Firmicutes	k__Bacteria	c__RF3	 p__Tenericutes	k__Bacteria	-0.118832321184	9.9583584546e-06
c__Erysipelotrichi	 p__Firmicutes	k__Bacteria	c__Actinobacteria	 p__Actinobacteria	k__Bacteria	0.178792274513	2.42819960394e-11
c__Erysipelotrichi	 p__Firmicutes	k__Bacteria	c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	-0.15935205954	2.82317752115e-09
c__Erysipelotrichi	 p__Firmicutes	k__Bacteria	c__Chloroplast	 p__Cyanobacteria	k__Bacteria	0.113369115642	2.51324570134e-05
c__Erysipelotrichi	 p__Firmicutes	k__Bacteria	c__TM7-3	 p__TM7	k__Bacteria	0.121868824926	5.8480943305e-06
c__Erysipelotrichi	 p__Firmicutes	k__Bacteria	c__Bacilli	 p__Firmicutes	k__Bacteria	0.182141200464	1.01167439605e-11
c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	c__Actinobacteria	 p__Actinobacteria	k__Bacteria	-0.121717965657	6.00661832024e-06
c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	0.155969751057	6.10457663103e-09
c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	0.203512240831	2.54766147036e-14
c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	c__Methanobacteria	 p__Euryarchaeota	k__Archaea	0.112567360302	2.86908071197e-05
c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	c__Synergistia	 p__Synergistetes	k__Bacteria	0.183736990653	6.62672754481e-12
c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	c__Bacilli	 p__Firmicutes	k__Bacteria	-0.17719008641	3.66978964804e-11
c__	 p__SR1	k__Bacteria	c__Flavobacteriia	 p__Bacteroidetes	k__Bacteria	0.109680828859	4.58807444253e-05
c__	 p__SR1	k__Bacteria	c__TM7-3	 p__TM7	k__Bacteria	0.144600659998	7.22893275571e-08
c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	c__[Rhodothermi]	 p__Bacteroidetes	k__Bacteria	0.197336859864	1.54167995051e-13
c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	c__Flavobacteriia	 p__Bacteroidetes	k__Bacteria	0.178199822804	2.8300816775e-11
c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	c__[Spartobacteria]	 p__Verrucomicrobia	k__Bacteria	0.738772582923	1.49382462551e-237
c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	0.759008305349	3.74436798455e-258
c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	c__Gemmatimonadetes	 p__Gemmatimonadetes	k__Bacteria	0.196472610843	1.97424221717e-13
c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	0.137043312254	3.3756832001e-07
c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	c__Sphingobacteriia	 p__Bacteroidetes	k__Bacteria	0.111369879812	3.49079842195e-05
c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	c__DA052	 p__Acidobacteria	k__Bacteria	0.83099866869	0.0
c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	c__TM7-3	 p__TM7	k__Bacteria	0.146173087404	5.19272590037e-08
c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	c__Solibacteres	 p__Acidobacteria	k__Bacteria	0.671739258269	3.9350666509e-181
c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	0.319081848827	6.49515513921e-34
c__RF3	 p__Tenericutes	k__Bacteria	c__Actinobacteria	 p__Actinobacteria	k__Bacteria	-0.111859899298	3.22233222146e-05
c__RF3	 p__Tenericutes	k__Bacteria	c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	0.269381559494	2.7438655542e-24
c__RF3	 p__Tenericutes	k__Bacteria	c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	0.122628835094	5.10843855621e-06
c__RF3	 p__Tenericutes	k__Bacteria	c__Mollicutes	 p__Tenericutes	k__Bacteria	0.324550793207	4.3111375674e-35
c__RF3	 p__Tenericutes	k__Bacteria	c__Opitutae	 p__Verrucomicrobia	k__Bacteria	0.147916430154	3.58352641836e-08
c__RF3	 p__Tenericutes	k__Bacteria	c__Methanobacteria	 p__Euryarchaeota	k__Archaea	0.348233739678	1.7651079824e-40
c__RF3	 p__Tenericutes	k__Bacteria	c__Thermoplasmata	 p__Euryarchaeota	k__Archaea	0.141165448452	1.47114045025e-07
c__RF3	 p__Tenericutes	k__Bacteria	c__Synergistia	 p__Synergistetes	k__Bacteria	0.179392107716	2.07831111564e-11
c__[Rhodothermi]	 p__Bacteroidetes	k__Bacteria	c__Deinococci	 p__[Thermi]	k__Bacteria	0.445257378523	6.37325793534e-68
c__[Rhodothermi]	 p__Bacteroidetes	k__Bacteria	c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	0.187602658202	2.34069505059e-12
c__[Rhodothermi]	 p__Bacteroidetes	k__Bacteria	c__Gitt-GS-136	 p__Chloroflexi	k__Bacteria	0.447865035206	8.60043230855e-69
c__[Rhodothermi]	 p__Bacteroidetes	k__Bacteria	c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	0.707364051263	4.06356942349e-209
c__[Rhodothermi]	 p__Bacteroidetes	k__Bacteria	c__[Brachyspirae]	 p__Spirochaetes	k__Bacteria	0.314494893103	6.05214759606e-33
c__[Rhodothermi]	 p__Bacteroidetes	k__Bacteria	c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	0.277754099553	8.89276108715e-26
c__Cytophagia	 p__Bacteroidetes	k__Bacteria	c__Flavobacteriia	 p__Bacteroidetes	k__Bacteria	0.124867604091	3.41412069269e-06
c__Cytophagia	 p__Bacteroidetes	k__Bacteria	c__Sphingobacteriia	 p__Bacteroidetes	k__Bacteria	0.147039642186	4.32076981787e-08
c__Cytophagia	 p__Bacteroidetes	k__Bacteria	c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	0.119673415575	8.60413563423e-06
c__Actinobacteria	 p__Actinobacteria	k__Bacteria	c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	-0.125056084538	3.29918893917e-06
c__Actinobacteria	 p__Actinobacteria	k__Bacteria	c__TM7-3	 p__TM7	k__Bacteria	0.12092587673	6.90866471963e-06
c__Actinobacteria	 p__Actinobacteria	k__Bacteria	c__Bacilli	 p__Firmicutes	k__Bacteria	0.348942131366	1.19753109638e-40
c__Spirochaetes	 p__Spirochaetes	k__Bacteria	c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	0.120407257888	7.56790042253e-06
c__Spirochaetes	 p__Spirochaetes	k__Bacteria	c__Opitutae	 p__Verrucomicrobia	k__Bacteria	0.123555609314	4.32719238862e-06
c__Spirochaetes	 p__Spirochaetes	k__Bacteria	c__Synergistia	 p__Synergistetes	k__Bacteria	0.132447822628	8.28388701441e-07
c__Flavobacteriia	 p__Bacteroidetes	k__Bacteria	c__[Spartobacteria]	 p__Verrucomicrobia	k__Bacteria	0.16157355947	1.68597523661e-09
c__Flavobacteriia	 p__Bacteroidetes	k__Bacteria	c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	0.163004956294	1.20488012252e-09
c__Flavobacteriia	 p__Bacteroidetes	k__Bacteria	c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.141322216149	1.4247222921e-07
c__Flavobacteriia	 p__Bacteroidetes	k__Bacteria	c__Sphingobacteriia	 p__Bacteroidetes	k__Bacteria	0.141664606083	1.32821073367e-07
c__Flavobacteriia	 p__Bacteroidetes	k__Bacteria	c__DA052	 p__Acidobacteria	k__Bacteria	0.144844869642	6.8684707447e-08
c__Flavobacteriia	 p__Bacteroidetes	k__Bacteria	c__Solibacteres	 p__Acidobacteria	k__Bacteria	0.164493156623	8.46980782609e-10
c__Flavobacteriia	 p__Bacteroidetes	k__Bacteria	c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	0.110719513966	3.88000299222e-05
