	Test	OneGroup	OneCount	OneMean	TwoGroup	TwoCount	TwoMean	pValue	TestStatistic	pFDR	pBonferroni	NumBonferroni	taxon
0	KruskalWallis	All	1375.0	6.831182200061217e-06				0.42650659757807297	2.781788727310124				1081058
0	KruskalWallis	All	1375.0	1.6164461662341215e-06				0.7898596689685824	1.047089766479808				359105
0	KruskalWallis	All	1375.0	5.700453151472068e-05				0.8798155178816943	0.6718019035127694				311173
0	KruskalWallis	All	1375.0	7.681507822938534e-06				0.04653170462420244	7.974976604580395				2700687
0	KruskalWallis	All	1375.0	5.020930493172669e-06				0.7032604952498329	1.409708909533406				3450454
0	KruskalWallis	All	1375.0	1.3771935854437413e-05				0.9229086387025636	0.48162836790278274				362389
0	KruskalWallis	All	1375.0	3.3770462005643354e-05				0.05827992330875466	7.472090353875352				1135042
0	KruskalWallis	All	1375.0	0.0005128266128212092				0.002675720834446494	14.175518134675933				176062
0	KruskalWallis	All	1375.0	8.062088371473552e-08				0.8798155178816943	0.6718019035127694				1001908
0	KruskalWallis	All	1375.0	1.8046623330813248e-05				0.3639774869488028	3.1849611181952264				575041
0	KruskalWallis	All	1375.0	4.787891338370504e-07				0.00098667926363641	16.294617468468893				158711
0	KruskalWallis	All	1375.0	2.091654390592306e-05				0.5947288627799614	1.8938461995915818				295094
0	KruskalWallis	All	1375.0	4.756072991515839e-07				0.8798155178816943	0.6718019035127694				2595967
0	KruskalWallis	All	1375.0	2.859760240754767e-07				0.5909174823353998	1.9117797073487757				4403168
0	KruskalWallis	All	1375.0	0.001387854381097889				0.005135028908120212	12.780969326145334				4480529
0	KruskalWallis	All	1375.0	6.096210289366744e-06				0.4203649303658502	2.8191026316346535				183576
0	KruskalWallis	All	1375.0	0.00014503983102989897				0.004402302412953311	13.111148805736123				4442508
0	KruskalWallis	All	1375.0	1.969918019409813e-06				0.8798155178816943	0.6718019035127694				175087
0	KruskalWallis	All	1375.0	2.8670138469896367e-06				0.5197760020513658	2.2623292924261884				407459
0	KruskalWallis	All	1375.0	6.922965927234223e-07				0.8532089131185863	0.7843400074261383				296770
0	KruskalWallis	All	1375.0	0.0035352176736690834				0.9719173865283419	0.2340293309339324				4409730
0	KruskalWallis	All	1375.0	7.289827748986522e-06				0.3905289696725359	3.007118340951713				4405869
0	KruskalWallis	All	1375.0	1.703598621794687e-06				0.8877384353968896	0.6377505418336575				92262
0	KruskalWallis	All	1375.0	7.222860858780889e-06				0.8660970608473803	0.7301222072664861				174353
0	KruskalWallis	All	1375.0	1.8154787507588047e-07				0.8532089131185863	0.7843400074261383				288682
0	KruskalWallis	All	1375.0	5.892470340708764e-07				0.798854557930061	1.0099078865482707				288680
0	KruskalWallis	All	1375.0	8.653638664843213e-06				0.14865332921887683	5.338034707399062				192225
0	KruskalWallis	All	1375.0	1.7404121990444355e-06				0.007569109685855942	11.946381599275258				4353757
