sex	race	chao1	observed_otus	shannon	simpson
female	African American	192.86423396411004	115.985	4.857930471041655	0.9111794225000001
female	Asian or Pacific Islander	218.86145822106903	127.8884375	4.969679747590245	0.9061473843750002
female	Caucasian	255.54901743568035	147.94925124792007	5.345883676206176	0.9273891775374393
female	Hispanic	241.85101381040934	143.655625	5.333013412255512	0.9332879850000001
male	African American	218.30844686517034	125.16399999999999	4.861795360733339	0.886609116
male	Asian or Pacific Islander	212.91049780893212	122.41517857142858	4.824329800385921	0.8982202542857143
male	Caucasian	252.1455521094329	145.32550314465422	5.28310859667498	0.9237188395597493
male	Hispanic	295.37080569269966	170.92761904761906	5.817375669841685	0.9485048599999997
