Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Age_50_55	Age_35_39	564.209038161	146.129456395	537.727764956	137.804987032	1.70708916602	1.0
Age_40_44	Age_25_29	559.008807791	135.757858589	546.453271335	142.756724221	0.676335417047	1.0
Age_40_44	Age_18_24	559.008807791	135.757858589	522.390504096	115.581653653	1.99619388228	1.0
Age_30_34	Age_45_49	548.72589864	122.670253095	572.453469473	139.98232916	-1.6355646785	1.0
Age_35_39	Age_25_29	537.727764956	137.804987032	546.453271335	142.756724221	-0.471214714539	1.0
Age_50_55	Age_30_34	564.209038161	146.129456395	548.72589864	122.670253095	1.0669463734	1.0
Age_50_55	Age_40_44	564.209038161	146.129456395	559.008807791	135.757858589	0.331645295819	1.0
Age_50_55	Age_18_24	564.209038161	146.129456395	522.390504096	115.581653653	2.24160967232	0.525
Age_18_24	Age_45_49	522.390504096	115.581653653	572.453469473	139.98232916	-2.73588552271	0.168
Age_35_39	Age_45_49	537.727764956	137.804987032	572.453469473	139.98232916	-2.22972776472	0.588
Age_35_39	Age_40_44	537.727764956	137.804987032	559.008807791	135.757858589	-1.32394688749	1.0
Age_50_55	Age_45_49	564.209038161	146.129456395	572.453469473	139.98232916	-0.549202264803	1.0
Age_45_49	Age_25_29	572.453469473	139.98232916	546.453271335	142.756724221	1.42761687961	1.0
Age_30_34	Age_18_24	548.72589864	122.670253095	522.390504096	115.581653653	1.5716988892	1.0
Age_35_39	Age_30_34	537.727764956	137.804987032	548.72589864	122.670253095	-0.742026543373	1.0
Age_50_55	Age_25_29	564.209038161	146.129456395	546.453271335	142.756724221	0.968782571736	1.0
Age_40_44	Age_45_49	559.008807791	135.757858589	572.453469473	139.98232916	-0.855953698352	1.0
Age_18_24	Age_25_29	522.390504096	115.581653653	546.453271335	142.756724221	-1.18379925527	1.0
Age_30_34	Age_25_29	548.72589864	122.670253095	546.453271335	142.756724221	0.133298051218	1.0
Age_35_39	Age_18_24	537.727764956	137.804987032	522.390504096	115.581653653	0.833410377277	1.0
Age_30_34	Age_40_44	548.72589864	122.670253095	559.008807791	135.757858589	-0.690283942357	1.0
