race	sex	chao1	observed_otus	shannon	simpson
African American	female	195.96048067301584	116.32875000000001	4.8618832746955984	0.9114135674999999
African American	male	220.1551243476666	125.252	4.872368439175761	0.88761668
Asian or Pacific Islander	female	217.83871066166225	127.79374999999997	4.9694932508458285	0.9062410525000001
Asian or Pacific Islander	male	213.58100563031763	122.52571428571423	4.823687594439948	0.8981146885714287
Caucasian	female	255.3486146765423	147.95662229617295	5.345826060455142	0.9273788037603992
Caucasian	male	252.33391221174588	145.35734276729553	5.282438624662506	0.9236530344654091
Hispanic	female	243.36887026377406	143.570625	5.329563249982746	0.9330522487500001
Hispanic	male	294.67989500238633	171.02142857142857	5.819425274792178	0.9487080571428572
