age_cat	bmi_cat	chao1	observed_otus	shannon	simpson
20s	Normal	252.1046610137712	145.42954887218042	5.313280680873621	0.9280273478195492
20s	Obese	263.49714547677036	142.33571428571426	5.337946107389821	0.9349916485714284
20s	Overweight	215.20083017886043	123.64000000000001	4.9386182418922955	0.91490993375
20s	Underweight	197.8315846854325	111.76526315789474	4.428514715959846	0.8566135536842104
30s	Normal	249.94755244950272	144.7888530465949	5.279315493084005	0.9212755190681
30s	Obese	214.66300579017732	123.59217391304347	4.8942859078852425	0.9085420208695651
30s	Overweight	252.33940985738514	144.9394059405941	5.286281227299253	0.9280075845544551
30s	Underweight	234.30848505161205	134.78791666666666	5.046713477828834	0.9115015308333332
40s	Normal	263.9959884881868	153.65586715867167	5.4644932671379545	0.9344839134317341
40s	Obese	236.80320778634746	137.39150943396226	5.129957868646649	0.9142051641509431
40s	Overweight	255.5705664115203	146.43908256880732	5.335694637542103	0.9308639678899084
40s	Underweight	250.48625134667316	145.41666666666666	5.380018453197496	0.9339760955555558
50s	Normal	251.99130657054286	145.55292397660816	5.277629111409735	0.9217509975438598
50s	Obese	243.27668445477798	140.3270967741936	5.193049431497622	0.9134043103225806
50s	Overweight	258.9149391192236	149.846301369863	5.274328597413886	0.9152285035616433
50s	Underweight	244.44468655178665	142.59374999999997	5.10577614120876	0.9080166275
teen	Normal	255.3377210895133	147.4178947368421	5.42470437744296	0.9389178663157893
teen	Overweight	267.587233035381	157.54333333333335	5.808406284486813	0.9637342666666665
teen	Underweight	178.97325037751162	108.23	5.025860060282064	0.939159
