f__	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__	 o__YS2	 c__4C0d-2	 p__Cyanobacteria	k__	0.296868532677	1.77587611912e-07
f__	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.305604656593	7.33755012868e-08
f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__Streptococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	-0.27595782815	1.31140941078e-06
f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__Peptococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.237672419729	3.39563833735e-05
f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	-0.299289182789	1.39416707053e-07
f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.446163629425	5.53850192882e-16
f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	-0.262514485777	4.3593495178e-06
f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	-0.286956463937	4.67501139929e-07
f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__Veillonellaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.240412728712	2.73589606071e-05
f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__Victivallaceae	 o__Victivallales	 c__Lentisphaerae	 p__Lentisphaerae	k__	-0.254633214251	8.55684777596e-06
f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	-0.395784747289	1.28957260808e-12
f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__	 o__	 c__	 p__	k__	-0.304584928315	8.14724400728e-08
f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.655339921154	5.98019219597e-38
f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	-0.404447078004	3.72320105621e-13
f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	-0.274548580181	1.49193119737e-06
f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__Oxalobacteraceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__	-0.25244347358	1.0280560539e-05
f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.697205948738	1.0753695768e-44
f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.55551066139	1.5801959082e-25
f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.432808024579	4.91359513696e-15
f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__Dehalobacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.38728064683	4.21732412839e-12
f__Streptococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	0.269420420363	2.37104764929e-06
f__Streptococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.252134543405	1.05488012635e-05
f__Streptococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.304581663946	8.14996926348e-08
f__Streptococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.306829337749	6.46732754906e-08
f__Streptococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.285894628926	5.17454040748e-07
f__	 o__	 c__Mollicutes	 p__Tenericutes	k__	f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	0.268299324663	2.62046014241e-06
f__	 o__	 c__Mollicutes	 p__Tenericutes	k__	f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.244353127657	1.99639640441e-05
f__	 o__	 c__Mollicutes	 p__Tenericutes	k__	f__Dehalobacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.257776312075	6.55603376836e-06
f__Campylobacteraceae	 o__Campylobacterales	 c__Epsilonproteobacteria	 p__Proteobacteria	k__	f__ClostridialesFamilyXI.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.362606804652	1.08763930537e-10
f__Peptococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.323865259335	1.05125374904e-08
f__Peptococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.239810698413	2.86950153138e-05
f__Peptococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__	 o__	 c__	 p__	k__	0.243233230691	2.18461774556e-05
f__Peptococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.246274695481	1.70873160215e-05
f__Peptococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.239293744614	2.98912792519e-05
f__Peptococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.346759977725	7.61272916601e-10
f__Peptococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__Dehalobacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.239765195196	2.87984673543e-05
f__Peptococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__	 o__	 c__	 p__Firmicutes	k__	0.259847118752	5.49047591467e-06
f__Fusobacteriaceae	 o__Fusobacteriales	 c__Fusobacteria	 p__Fusobacteria	k__	f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.250554617106	1.20278335751e-05
f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.261689301825	4.68309182503e-06
f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.238339796223	3.22235757651e-05
f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.245155137707	1.87115804737e-05
f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.259295010191	5.75720416075e-06
f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.430317925743	7.30440203075e-15
f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	0.344323800525	1.0170343187e-09
f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.317584424182	2.08149766205e-08
f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__	 o__	 c__	 p__	k__	0.304882461033	7.90250184679e-08
f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.439610578953	1.63586520152e-15
f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	0.313229208447	3.31217828381e-08
f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__Anaeroplasmataceae	 o__Anaeroplasmatales	 c__Mollicutes	 p__Tenericutes	k__	0.254438882536	8.69794107119e-06
f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.450815029391	2.53123827743e-16
f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.568740943935	6.17811772858e-27
f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.310470151072	4.4284024347e-08
f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__Dehalobacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.412118459667	1.20191042838e-13
f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__	 o__	 c__	 p__Firmicutes	k__	0.238181647969	3.26264760569e-05
f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.339362595248	1.82046389664e-09
