OTU	Test-Statistic	P	FDR_P	Bonferroni_P	hispanic_mean	white_mean	black_mean	asian_mean
k__Bacteria; p__Fusobacteria; c__Fusobacteriia	20.8833900701	0.000111312549891	0.00222625099783	0.00222625099783	0.00112174550971	0.00011887660639	0.0	0.0011625278046
k__Bacteria; p__Tenericutes; c__Mollicutes	16.2432029396	0.00101094182442	0.00676353884082	0.0202188364883	0.00386733754542	0.00627963072006	0.00257073896134	7.99035346418e-05
k__Bacteria; p__Actinobacteria; c__Coriobacteriia	16.2357017532	0.00101453082612	0.00676353884082	0.0202906165224	0.00164252662088	0.00105250129279	0.000244410672876	0.000998576951759
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]	12.3092812671	0.00639541150917	0.0319770575458	0.127908230183	0.000302859747804	8.97651973255e-05	0.0	5.04922999243e-05
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae	10.674306241	0.0136239199315	0.0544956797259	0.27247839863	0.00121317420699	0.00329728441241	0.00452933845306	0.00014111237389
k__Bacteria; p__Tenericutes; c__RF3	8.89490704039	0.0307212840256	0.0914161992909	0.614425680512	0.00119923619946	0.00213041949482	0.0	0.000312350180873
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria	8.67213310113	0.0339831195914	0.0914161992909	0.679662391828	3.8910249742e-05	7.37008360041e-06	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	8.51006612111	0.0365664797164	0.0914161992909	0.731329594327	0.00160405608929	0.00189461518839	0.000484969019541	0.00396677898539
k__Bacteria; p__Cyanobacteria; c__4C0d-2	7.13962475797	0.0675781313613	0.150173625247	1.0	0.000106966083965	0.000983328753554	2.87636543965e-05	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia	6.59923195339	0.0858301255254	0.171660251051	1.0	0.648833152661	0.660988675519	0.686973619662	0.743218531422
k__Bacteria; p__Firmicutes; c__Clostridia	5.78919496989	0.122329108726	0.206606454126	1.0	0.305665430181	0.285971849706	0.275840718248	0.217328381085
k__Bacteria; p__Firmicutes; c__Erysipelotrichi	5.75860394545	0.123963872476	0.206606454126	1.0	0.00637067932577	0.00622080990575	0.00509385410813	0.00278799147646
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	4.81503434844	0.185853201352	0.28592800208	1.0	0.000248316195681	0.000237589216169	0.000826831065915	5.40425052271e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria	4.6066234593	0.202974623589	0.289963747984	1.0	0.0021203775491	0.000620706203517	0.000262781590688	0.000719802776161
Unassigned	4.06361725834	0.254676049982	0.339568066643	1.0	0.00146998693204	0.00256664572622	0.00116694488909	0.00234406909529
k__Bacteria; p__Verrucomicrobia; c__Opitutae	3.10988192653	0.374991863787	0.446963117783	1.0	0.000269359641434	4.49616810411e-05	2.74649821478e-05	0.0
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	3.07690903697	0.379918650115	0.446963117783	1.0	0.0065165376357	0.00548356916256	0.000263667530292	0.00239425149931
k__Bacteria; p__Synergistetes; c__Synergistia	2.69391972003	0.441261563369	0.490290625966	1.0	0.0	1.12813590611e-05	0.0	2.17918730841e-05
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria	1.60766869503	0.65765224729	0.658549160273	1.0	0.0169599143994	0.0215282055907	0.0212045542963	0.0240560212706
k__Bacteria; p__Firmicutes; c__Bacilli	1.60370882902	0.658549160273	0.658549160273	1.0	0.000449433226174	0.00047191418103	0.000481342866391	0.000363374865121
