	chao1	shannon	observed_otus	simpson	equitability
10317.000002503	447.666666667	5.38475227271	351.0	0.92791202	0.636847295487
10317.000013618	798.068181818	6.57289109337	456.0	0.97904614	0.744138224616
10317.000031796	963.4	6.48951042561	581.0	0.96630154	0.706734014664
10317.000026504	608.217391304	6.08873335373	433.0	0.96346142	0.69520189249
10317.000007104	774.068181818	5.8354728107	412.0	0.95886322	0.671786387676
10317.000007077	670.0	5.84402682641	415.0	0.96042284	0.671961440443
10317.000016408	818.246575342	6.44691137462	529.0	0.97212164	0.712592359434
10317.000005802	429.071428571	4.46435545865	273.0	0.88707336	0.551648267817
10317.000006952	414.222222222	5.85085151684	333.0	0.96575536	0.698244101238
10317.000013023	624.519230769	5.93465987461	386.0	0.96683842	0.690682519432
10317.000002645	541.512195122	4.74446898051	337.0	0.88918712	0.565046123303
10317.000002027	626.559322034	5.81063965782	419.0	0.95708526	0.667061046764
10317.000027353	1023.46153846	6.52817801778	605.0	0.95949786	0.706452270495
10317.000023798	633.863013699	6.03051726189	453.0	0.94919876	0.683471184847
10317.000041962	793.835294118	6.54087187976	543.0	0.97432966	0.719979068413
10317.000040352	510.840909091	4.3183782928	329.0	0.78455704	0.516432352292
10317.000028811	488.130434783	5.00160666978	374.0	0.91301996	0.585195791671
10317.000027772	946.032258065	6.99206038612	622.0	0.9805883	0.753392208396
10317.000027617	657.0	5.50221039659	437.0	0.9346375	0.627283475141
10317.000039952	157.24	4.44074690424	141.0	0.89894366	0.621992431324
10317.000026028	665.041666667	6.07142079075	456.0	0.96694714	0.687365152404
10317.000001441	528.651162791	5.11710832876	357.0	0.89884812	0.603448222647
10317.000016347	666.147540984	6.14813518075	455.0	0.95260556	0.696299913962
10317.000001595	577.430769231	6.32729152739	432.0	0.97183584	0.722715343381
10317.000002146	601.058823529	5.87299515741	414.0	0.95955994	0.675562658128
10317.000012158	814.285714286	6.63095162588	558.0	0.9738501	0.726749612292
10317.000014313	341.243243243	4.09111068161	233.0	0.85724058	0.520220478808
10317.000007749	450.096774194	5.56556096394	303.0	0.94321766	0.675172084818
10317.000017335	710.958333333	5.98947009711	472.0	0.96690406	0.674289179902
10317.000002578	515.045454545	5.98245921075	388.0	0.96543942	0.69564184202
10317.000007719	483.109090909	5.05809557968	333.0	0.92827464	0.603636136011
10317.000006716	572.015384615	5.99242990477	439.0	0.95597626	0.68265860693
10317.000006802	504.451612903	5.74969415658	395.0	0.9407874	0.666576424175
10317.000002898	514.245283019	5.75224164008	384.0	0.95610784	0.67003689761
10317.000001647	553.75	5.71902562399	380.0	0.95044016	0.667342121661
10317.000002878	393.75	5.64249861502	339.0	0.93018946	0.671315127743
10317.000017667	660.93220339	6.00075773606	426.0	0.96491968	0.687001399814
10317.000009213	496.018518519	5.67935115433	366.0	0.95071862	0.666927118403
10317.000031434	644.01754386	5.17307344043	392.0	0.92102612	0.600493055951
10317.000027217	563.6	4.74036655658	379.0	0.8336986	0.553389756293
10317.000001546	503.791044776	6.3377043205	399.0	0.9755117	0.733509798308
10317.000009074	553.411764706	5.98977222361	402.0	0.9685185	0.69237503571
10317.000027277	687.884057971	5.52346671329	457.0	0.92638788	0.625105843826
10317.000001333	310.24	4.33046969073	187.0	0.9085825	0.573808168876
10317.000023984	687.232876712	5.84404375873	469.0	0.94838228	0.658599263671
10317.000028933	706.119402985	6.2045022328	471.0	0.96538326	0.698737999113
10317.000015568	669.059701493	6.05134606699	447.0	0.96536192	0.687330305789
10317.000006944	621.367346939	2.97074601881	442.0	0.56077538	0.338049494602
10317.000002028	618.892857143	5.56289399626	422.0	0.9113662	0.637866153783
10317.000003896	510.424242424	5.91195960457	393.0	0.95656212	0.685970661561
10317.000011025	630.862068966	6.31593209886	433.0	0.97287224	0.721143083935
10317.000017293	889.47826087	5.96973321343	521.0	0.95535768	0.661456055304
10317.000031284	336.090909091	3.68919659223	212.0	0.8052989	0.477385425216
10317.000020034	661.086956522	5.93768966878	465.0	0.95703386	0.670085930966
10317.000031847	687.92	5.48082721541	404.0	0.93705944	0.633020714074
10317.000013935	612.581395349	6.1334057263	472.0	0.96426126	0.69049332414
10317.000014019	656.011904762	6.28984889542	491.0	0.96808672	0.70359563293
10317.000023052	482.942307692	5.39820343474	341.0	0.9406255	0.641602348034
10317.000015385	685.276315789	6.41472089516	478.0	0.97347798	0.720684966256
10317.000017354	758.933333333	6.65518285307	517.0	0.97451182	0.738314592805
10317.000023475	779.416666667	6.49023881784	477.0	0.97621946	0.729416896476
10317.000003475	664.181818182	5.89586721686	461.0	0.94457896	0.666303362292
10317.000017269	525.924050633	5.63707675269	408.0	0.93597316	0.650000032333
10317.000014801	653.381818182	5.69043159425	386.0	0.95474902	0.662258952192
10317.000009716	674.012658228	6.59118650603	513.0	0.97690458	0.732125062506
10317.000013155	616.037974684	5.7848442121	453.0	0.94539708	0.655627727456
10317.000015604	594.630434783	5.72225599143	377.0	0.95493226	0.668611205635
10317.000009236	533.018518519	5.56660017922	368.0	0.93192514	0.653083793832
10317.000041289	589.202702703	5.62814746028	430.0	0.94135258	0.643349724572
10317.000030735	647.068493151	6.2254768433	475.0	0.9635329	0.700138133257
10317.000022541	634.767857143	5.18650402686	399.0	0.9025636	0.60027280073
10317.000034132	318.181818182	3.46864738028	220.0	0.77024492	0.445763659307
10317.000026633	636.590909091	5.87889140364	439.0	0.95563186	0.669724282083
10317.000028715	434.576923077	4.78851751499	248.0	0.91071262	0.602011482761
10317.000026126	440.914893617	4.44792043954	289.0	0.8930477	0.544093073416
10317.000033665	714.0	4.83719863843	350.0	0.89166034	0.572367507381
10317.000028755	729.943661972	6.16312866077	485.0	0.96130008	0.690791138762
10317.000016485	469.042553191	4.49562236689	312.0	0.85275484	0.542595549152
10317.000001001	442.018518519	4.58403964766	312.0	0.8723048	0.553267002201
10317.000002334	663.964912281	5.89414616728	438.0	0.95738712	0.671713869208
10317.000006797	390.333333333	4.7444350306	289.0	0.89521528	0.58036430114
10317.000013156	761.12345679	6.58419316983	508.0	0.9758197	0.732497957073
10317.000001529	591.52173913	6.1499522152	436.0	0.96773578	0.701394038652
10317.000002418b	788.512195122	6.45461225959	536.0	0.97140422	0.711951109679
10317.000005849	420.1	4.23572932419	289.0	0.83132976	0.518136737714
10317.000011341	623.844827586	5.74044348096	410.0	0.95732232	0.661381029181
10317.000013355	820.753424658	6.30129661272	523.0	0.9654361	0.697766457079
10317.000006794	611.678571429	5.33819423518	393.0	0.92257436	0.619396084542
10317.000028723	754.416666667	5.52743453012	452.0	0.93897118	0.626680541707
10317.000002774	503.0625	4.60681548204	339.0	0.85159038	0.548094937158
10317.000001531	501.666666667	6.26579633298	405.0	0.9683382	0.723384536322
10317.000018027	654.035714286	6.50880812909	491.0	0.9764064	0.728088870074
10317.000001948	385.125	5.01712612466	282.0	0.92762744	0.616388533894
10317.000001032	486.666666667	5.57661487947	341.0	0.95431644	0.66280740324
10317.000016697	881.493150685	7.03907428878	578.0	0.98469672	0.767207771743
10317.000011162	569.451612903	4.10006322374	394.0	0.74142442	0.475532194609
10317.000005999	466.166666667	4.96358678266	355.0	0.91267142	0.585903809701
10317.000001362	616.481481481	6.58165953679	484.0	0.97672172	0.737948252114
10317.000010947	501.575	5.7273872533	314.0	0.96278946	0.69049416805
10317.000002851	518.75	5.39062687353	362.0	0.93296492	0.634202895575
10317.000035452	675.0	6.51221998155	401.0	0.97487816	0.753079073688
10317.000005928	643.858695652	6.17088847711	495.0	0.95156192	0.689385789147
10317.000027807	873.266666667	6.33893996255	511.0	0.9698061	0.704547461344
10317.000031313	861.26744186	6.44742580399	563.0	0.96866676	0.705639933858
10317.000014458	538.8125	5.46232910212	339.0	0.94617546	0.649879496505
10317.000016759	630.835820896	6.10265782695	455.0	0.96001268	0.691149429041
10317.000014308	620.878787879	6.10899650317	447.0	0.9581117	0.69387841781
10317.000010546	456.162162162	4.56653635201	300.0	0.88401386	0.554944339372
10317.000015305	714.465753425	6.73334021664	520.0	0.9757389	0.746294138765
10317.000014295	516.153846154	5.07535937194	337.0	0.91790598	0.604453764849
10317.000011055	734.873239437	6.21168189804	513.0	0.9540854	0.689971068746
10317.000002818	508.948275862	3.77572041735	353.0	0.68973604	0.446116800854
10317.000009667	518.85	4.78764156717	340.0	0.90986274	0.569320846603
10317.000012254	518.0	5.26331587826	381.0	0.91978068	0.613894619543
10317.000026037	620.042857143	6.30721006131	475.0	0.96551182	0.709330126758
10317.000007037	403.365384615	5.72072145522	350.0	0.9259553	0.676911436659
10317.000015594	752.763157895	6.63644172923	519.0	0.97899426	0.735780805261
10317.000004286	552.395833333	5.4726529208	375.0	0.94180302	0.640020463494
10317.000001351	599.733333333	5.0362913586	358.0	0.90644848	0.593635162623
10317.000010115	504.355932203	5.55696361157	373.0	0.93642308	0.650467390089
10317.000010981	540.518518519	6.01619072244	390.0	0.96278	0.698961292659
10317.000013028	433.615384615	5.9757859056	372.0	0.95899646	0.699809669522
10317.000017095	621.878787879	6.45644757932	448.0	0.9764175	0.733074531054
10317.000011048	711.150684932	6.34603416621	488.0	0.96941002	0.710583451998
10317.000002079	458.849056604	5.22653630038	333.0	0.9438346	0.623737951841
10317.000014937	581.779661017	6.31600616353	433.0	0.96954606	0.721151540522
10317.000013653	409.319148936	5.01877790737	304.0	0.91389794	0.60848957501
10317.000021178	752.185185185	5.76621679033	437.0	0.9462458	0.657381714973
10317.000006741	563.044776119	5.85671614701	424.0	0.95416296	0.671032255335
10317.000014548	621.596774194	6.0372498982	419.0	0.96323082	0.693075887307
10317.000013215	747.789473684	6.13731653412	462.0	0.9624642	0.693345067218
10317.000010867	518.444444444	5.73445177008	377.0	0.96015684	0.670036209039
10317.000026613	519.0	5.88722687492	400.0	0.95828888	0.681088017392
10317.000006909	552.584415584	6.17090036459	442.0	0.96439036	0.702204004071
10317.000011163	438.188679245	5.23771372771	323.0	0.914684	0.62837053873
10317.000012276	645.868421053	6.05033874582	470.0	0.95321444	0.681611805874
10317.000015003	610.692307692	5.49924293533	390.0	0.92013814	0.638902276883
10317.000001613	584.181818182	5.86429771646	426.0	0.95344544	0.671378668717
10317.000006029	579.122807018	5.84955104187	401.0	0.95785568	0.676447431534
10317.000005024	624.846153846	6.20475301703	462.0	0.95799454	0.700963503145
10317.000026632	691.679245283	6.20180509822	427.0	0.97065776	0.709743604662
10317.000033799	489.277777778	5.14488519395	274.0	0.95163228	0.635325365625
10317.000029152	579.790697674	4.25435237784	337.0	0.77660954	0.506675315644
10317.000022999	630.22	5.44361055132	379.0	0.936709	0.635486365959
10317.000037575	752.506329114	6.83381718074	530.0	0.9798021	0.755130557533
10317.000027681	744.25	6.45762584922	433.0	0.97307554	0.73732145104
10317.000021296	793.511111111	6.44919267036	552.0	0.97199584	0.708039233025
10317.000028712	664.016666667	5.6471736784	433.0	0.9457751	0.644785310895
10317.000027363	786.044776119	5.88487317167	477.0	0.95489322	0.661381814369
10317.000033801	656.365384615	5.56775383905	393.0	0.9379573	0.646032117918
10317.000011225	685.283018868	5.96521897368	430.0	0.95895862	0.68188014099
10317.000011409	488.865384615	5.29803073951	335.0	0.93654956	0.631618958245
10317.000009475	411.118644068	4.95171214345	315.0	0.90688126	0.596648756421
10317.000012928	559.519230769	5.70397262811	367.0	0.95247482	0.669508938977
10317.000028841	711.672413793	6.0102595837	437.0	0.9668697	0.685203990109
10317.000014534	582.428571429	5.60180754234	381.0	0.95017258	0.653375094617
10317.000016715	665.346153846	6.55964679699	479.0	0.97793562	0.73671763739
10317.000008954A	559.114754098	5.76088412908	395.0	0.94390528	0.667873705673
10317.000015912	522.267857143	5.244258938	351.0	0.92956882	0.620231340711
