sex	bmi_cat	chao1	observed_otus	shannon	simpson
female	Normal	561.609053090898	395.41924290220777	5.629511832343022	0.9311725274769719
female	Obese	455.3197025599921	323.7983333333333	5.1262399714199525	0.9190580953523809
female	Overweight	530.4641021430823	373.09707317073173	5.453129230113485	0.9233801327780485
female	Underweight	515.411865807766	369.45218750000004	5.470935257882545	0.92591610630625
male	Normal	544.8948926521309	385.83366242038215	5.573693702590641	0.9323379775191086
male	Obese	539.220949438185	372.1	5.366323928463141	0.9097021464800001
male	Overweight	547.571792026949	385.6001999999998	5.50745197292392	0.9264480280520003
male	Underweight	435.59304228721385	308.13571428571424	4.82226626514283	0.8765024885857144
