bmi_cat	sex	chao1	observed_otus	shannon	simpson
Normal	female	561.1600352004779	395.26211356466877	5.629423763383147	0.9311682780870668
Normal	male	544.8467169251788	385.82531847133754	5.573808223412101	0.9323415856579619
Obese	female	455.38720786552517	323.82738095238085	5.126878839891906	0.9190875017190479
Obese	male	538.9400778805755	372.0274999999999	5.366548509079371	0.9096974924849999
Overweight	female	530.0229744557038	372.9901219512196	5.452913143048459	0.9233532310585367
Overweight	male	547.5136794686999	385.5843999999999	5.507475300574095	0.9264560342373329
Underweight	female	515.1183974185169	369.3515625000001	5.470674959479853	0.9258854770124998
Underweight	male	433.6718707065408	307.7571428571428	4.821448475835604	0.8763816694000001
