OTU	Test-Statistic	P	FDR_P	Bonferroni_P	teen_mean	20s_mean	30s_mean	40s_mean	50s_mean
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae	15.2447688788	0.004219566945	0.0292123865423	0.759522050099	0.000231211487043	0.000200665951336	0.000133197318133	0.000128852704555	7.47112274175e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	14.8099000631	0.00511218072316	0.0340812048211	0.920192530169	0.21419520279	0.17302378304	0.166655731213	0.151892949089	0.152147252778
k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__	14.1225290112	0.00691408893277	0.0444477145678	1.0	9.47583449423e-06	0.0021228747438	0.00125413839447	0.000867650084153	0.000991554076456
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae	13.1037964596	0.0107796058531	0.0669078983984	1.0	0.0152658332495	0.0136330847032	0.0104896209175	0.0148935729418	0.0114983078813
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae	12.5007125241	0.0139914947086	0.0839489682516	1.0	0.0141252084556	0.0221906785065	0.024862335049	0.029003331701	0.0275127601963
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae	11.3295669232	0.023099460946	0.134125902267	1.0	0.00168789854266	0.00166483971536	0.000820883485485	0.000503694082964	0.000486421880092
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae	11.0475893249	0.0260343501744	0.146443219731	1.0	2.32715628483e-06	0.0	8.51601010634e-06	1.51338714246e-05	4.21061517961e-06
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae	10.9441820743	0.0271985452329	0.14835570127	1.0	0.0498922508574	0.046254296181	0.034808475813	0.0322179535007	0.0390475529932
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae	10.4215226834	0.0338953360419	0.179445896692	1.0	7.86011552048e-05	0.00555639538709	0.00820530593125	0.00819708907349	0.0074051474167
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae	10.0401689211	0.039756450619	0.20274700911	1.0	0.00500890313597	0.00355597959733	0.00453610016913	0.00365927783588	0.00296685643202
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae	9.99278449246	0.040549401822	0.20274700911	1.0	7.76460601125e-06	0.00016509894157	0.00181511868181	0.00317052414053	0.00475547383283
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae	9.70815405273	0.0456414638677	0.222039553951	1.0	0.000465112146338	0.000447518379627	0.000515181607326	0.000591379961983	0.00061350681618
k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__	9.61311533355	0.0474741581134	0.222247383974	1.0	0.00199050631011	0.00314517057687	0.00595172644339	0.00634799223481	0.00598094125804
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae	9.57877108402	0.048153599861	0.222247383974	1.0	0.000400835471286	0.000268339107537	0.000224973058632	8.3632862509e-05	2.47837336209e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__; f__	9.48616425782	0.0500323187967	0.225145434585	1.0	5.89570766317e-05	2.05160845384e-06	8.53025840885e-06	7.63855143723e-06	6.80806576271e-06
k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__	9.37007985872	0.0524863691387	0.230427962072	1.0	0.0	0.0	0.0	2.6880481004e-07	2.05871265691e-07
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae	9.28328204039	0.054395925002	0.233125392866	1.0	0.00388350076988	0.00495572943728	0.00556615431767	0.00533607951883	0.00425810872064
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__	9.04766133951	0.0599191522301	0.250824358173	1.0	0.0	3.30393784848e-05	0.000551159875919	0.000307824234956	0.000264517283768
k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__Elusimicrobiales; f__Elusimicrobiaceae	8.96517327711	0.0619759027615	0.253537784024	1.0	0.0	0.0	2.45104058194e-05	9.05317063876e-06	1.4809346657e-05
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__	8.82675262981	0.0655787657069	0.262315062828	1.0	0.0	1.30235446981e-05	8.78178444658e-05	1.42207297588e-05	3.10913197951e-05
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae	8.52313924029	0.0741889374393	0.28878380913	1.0	1.32997647272e-06	3.52471762262e-07	0.00010108736028	0.000281881881987	3.79916470602e-05
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae	8.44784310809	0.0764840406676	0.28878380913	1.0	0.0	9.22972086813e-06	2.446322169e-06	1.05171276336e-05	6.06161312425e-06
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae	8.39968416962	0.0779869457881	0.28878380913	1.0	0.000953307197686	0.00174049499747	0.00120711869327	0.00251614312848	0.000811679800239
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	8.35503185356	0.079405270301	0.28878380913	1.0	0.000161714983578	0.000289652444568	0.000415176530501	0.000740590618571	0.00169216036097
k__Bacteria; p__TM7; c__TM7-3; o__; f__	8.329791376	0.0802177247584	0.28878380913	1.0	0.0	4.94795835047e-06	6.17193648638e-06	3.0188780945e-06	2.56928333333e-06
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae	8.23012443984	0.0835030052809	0.293517924489	1.0	0.0	8.84111124076e-07	0.0	0.0	4.20162771058e-07
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]	8.19196422011	0.0847940670745	0.293517924489	1.0	0.00574624055524	0.0052992822377	0.00592019749012	0.0110967914926	0.00735618318813
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae	7.90635600636	0.0950693539871	0.317501666501	1.0	0.0125107714396	0.00875939439832	0.00578226055702	0.00457983606682	0.00473049373876
k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__Gemellaceae	7.90158545349	0.0952504999502	0.317501666501	1.0	3.87024507989e-05	4.76903263998e-05	9.9727680408e-05	0.000284222311968	0.00022502826648
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Succinivibrionaceae	7.61000051644	0.106955420513	0.350035921678	1.0	7.65538710798e-06	0.000941880244696	0.00101765984693	7.81043535747e-05	0.00130061850319
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__[Exiguobacteraceae]	7.47451701505	0.112838248711	0.362694370856	1.0	0.0	1.54903141793e-05	1.29739476526e-05	2.40698285512e-05	2.5602700423e-05
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7	7.16282942171	0.127529588889	0.402725017543	1.0	0.00170478753199	0.00297905231195	0.00386335447492	0.00462750605305	0.00382412438772
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae	6.99356293604	0.136228786023	0.415957499719	1.0	0.0	0.000127339532006	0.000797048801408	0.000388969212194	0.000313511018554
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae	6.99143338483	0.136341624908	0.415957499719	1.0	3.10138379079e-05	0.00385173995441	0.00125901052076	0.000629586392649	0.000451091624782
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae	6.87418192947	0.142688408002	0.428065224006	1.0	0.00541628989092	0.00177954284656	0.000726249002241	0.000290391758942	0.00042179061569
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__	6.81577292341	0.145950004987	0.430672145863	1.0	4.97460397092e-06	0.000112214899986	1.25433125561e-05	0.000156025759896	3.17414245893e-05
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__	6.72065163477	0.15140770705	0.439570762402	1.0	0.000601558518964	0.000237106403796	0.000580211589022	0.00167077047483	0.00170776618734
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales; f__Cardiobacteriaceae	6.65501265659	0.15528162769	0.439625257576	1.0	3.52193283674e-06	1.56379790033e-06	9.98733271867e-07	2.06869085226e-06	0.0
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Victivallales; f__Victivallaceae	6.63781850461	0.156311202694	0.439625257576	1.0	4.06991439799e-05	0.000152291437455	0.000195530615784	0.000250218841339	0.000260161154374
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae	6.58295539816	0.159637992596	0.442074441034	1.0	0.000138074437277	0.00034228293785	0.000206341482551	0.00104514393904	0.000357933093634
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae	6.28896947431	0.17858220246	0.482021372105	1.0	0.025510288802	0.0323274982461	0.0288223277543	0.0324907718122	0.0286340834535
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae	6.1989528793	0.184774859307	0.482021372105	1.0	0.0	1.05093492338e-05	0.0	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__	6.1989528793	0.184774859307	0.482021372105	1.0	0.0	4.92114117327e-06	0.0	0.0	0.0
k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolinaceae	6.1989528793	0.184774859307	0.482021372105	1.0	0.0	3.42047175146e-06	0.0	0.0	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__RF16	5.92571398415	0.204765109461	0.526538852898	1.0	0.0	0.0	2.75981429956e-05	1.01610895591e-05	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__[Thermicanaceae]	5.87625815404	0.208581939439	0.528799283084	1.0	0.0	1.14980513059e-05	6.68685423162e-07	8.65893367172e-06	0.0
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae	5.52071088229	0.237914965732	0.59478741433	1.0	0.0	2.89587513169e-06	1.71499637061e-06	9.98925523508e-07	1.81955144418e-06
k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae	5.39678036243	0.248952654691	0.599962245797	1.0	0.0	1.70747996858e-06	3.52803895278e-07	1.39783192504e-06	1.76232708643e-06
k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__[Cerasicoccales]; f__[Cerasicoccaceae]	5.39635064657	0.248991683881	0.599962245797	1.0	0.0	7.17894157993e-07	6.61358507191e-05	4.3401697334e-05	4.49265947195e-05
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae	5.38544164743	0.249984269082	0.599962245797	1.0	0.0	1.12005863731e-07	9.82843870534e-08	2.03078385146e-07	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98; f__	5.32549067348	0.255500125409	0.605131875969	1.0	7.24744879158e-05	3.23378208496e-05	5.65807932322e-05	7.49061163705e-05	6.3584997198e-05
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria	5.23735794705	0.263798443577	0.616671686283	1.0	1.53610124115e-05	6.73988229077e-05	4.0899552463e-05	3.00386439009e-05	2.78204268831e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae	5.05811139275	0.281386708379	0.64683500017	1.0	0.00012119183018	3.01297419533e-05	2.42401241039e-05	1.68578992501e-05	2.2253711007e-05
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae	4.99909359894	0.287390510241	0.64683500017	1.0	1.09940454351e-05	2.30467282262e-05	7.62287216307e-05	0.000166050221711	4.02344344591e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Propionibacteriaceae	4.96415858941	0.290994858349	0.64683500017	1.0	1.32229131929e-06	8.56612522548e-06	1.13638405517e-05	8.58251956727e-06	6.93193862105e-06
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae	4.96337872116	0.291075750076	0.64683500017	1.0	0.0	2.77522806584e-06	1.34362478756e-05	6.04039919059e-05	3.54050761102e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__EtOH8	4.92390002679	0.295195333179	0.647740465494	1.0	0.0	1.00206884099e-05	1.8311014699e-05	1.68825857533e-05	3.22337373382e-05
