OTU	Test-Statistic	P	FDR_P	Bonferroni_P	male_mean	female_mean
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia	13.0508791372	0.00030314208058	0.00459602509267	0.142476777873	0.0311006677086	0.0235950234658
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Clostridium	12.3945221104	0.000430595181431	0.00632436672727	0.202379735273	9.26382402024e-05	0.000113892369858
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae; g__Dermabacter	12.2058019563	0.000476411182561	0.00678525017587	0.223913255804	2.35950271174e-05	1.44563628695e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium	12.1021024577	0.000503650010239	0.00696222072978	0.236715504812	0.0821040349054	0.0685426620864
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister	11.7310990178	0.000614642848118	0.00825377538902	0.288882138616	0.0092884220818	0.005833963118
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Pediococcus	11.2882599586	0.000779987509386	0.0101831702614	0.366594129412	0.00168154211537	0.00030118241924
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium	10.9451097389	0.000938509879169	0.0119216119786	0.441099643209	0.0128016744098	0.00794012313318
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Pseudoramibacter_Eubacterium	10.5962174295	0.00113319257048	0.0140158028455	0.532600508128	1.33976229715e-05	3.0648402033e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__	10.443976502	0.00123050071824	0.0148291112198	0.578335337574	1.40307481383e-05	2.47117133898e-06
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__	10.2666800524	0.00135454331246	0.0159158839214	0.636635356854	3.47036416197e-06	3.61106047393e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]	10.060416437	0.00151488980518	0.0172512090542	0.711998208434	0.007709190153	0.00642875424311
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__; g__	10.0282223928	0.00154159740485	0.0172512090542	0.724550780278	8.09883100654e-05	0.000197576895373
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__WAL_1855D	9.95978730703	0.00159996537465	0.0174879936299	0.751983726084	0.00311417481964	0.00147034939065
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	9.78148165869	0.00176278208439	0.0188297177197	0.828507579665	0.00238750696388	0.000903443908772
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Eubacterium]	9.59299232335	0.00195321373569	0.0204002323505	0.918010455775	0.00356821145686	0.002102806162
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]; g__	9.40605100671	0.00216270513481	0.0220972046383	1.0	0.00527780931549	0.00859735472922
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Mycoplasmatales; f__Mycoplasmataceae; g__Ureaplasma	9.30862137502	0.00228078038258	0.0228078038258	1.0	9.58456884416e-07	2.27035205986e-06
