OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Obese_mean	Normal_mean	Overweight_mean	Underweight_mean
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]	9.82503023083	0.020113522108	0.120681132648	1.0	0.00511298108676	0.00744188449002	0.00613072669602	0.00611859093894
k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae	9.66190347281	0.0216699158707	0.125825317959	1.0	0.000832040711289	0.000952237305498	0.00074897520181	0.000512802247299
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae	9.51047024998	0.0232202350269	0.130613822026	1.0	1.04448519077e-05	0.000536105995549	0.000289449846886	0.000235579900315
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae	8.58671342191	0.0353216503335	0.192663547274	1.0	0.0172506857046	0.0365779569173	0.0450951052147	0.0312384002992
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Dethiosulfovibrionaceae	8.42621735917	0.0379773627625	0.196303978692	1.0	1.1918282471e-05	1.25895895213e-05	1.07783284713e-05	2.52208653678e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae	8.39092032016	0.0385870625936	0.196303978692	1.0	1.32307786445e-05	3.98065560664e-06	1.48050934944e-05	3.05615999609e-07
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae	8.32202185859	0.03980482464	0.196303978692	1.0	0.00352765528956	0.00289920371135	0.00374585315614	0.00211835993704
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae	8.29176558165	0.0403513733979	0.196303978692	1.0	5.45767917946e-05	0.000136627940174	0.00011304285423	0.000568887504847
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae	7.82412920989	0.0497897583549	0.235846223786	1.0	1.024579983e-05	1.26802360257e-05	2.69369433089e-07	0.0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae	7.64319205299	0.0539911641823	0.249189988534	1.0	0.00328363095562	0.000978648841687	0.00208675443945	0.00809914824501
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Intrasporangiaceae	7.47395179994	0.0582315325169	0.261189262851	1.0	2.20797464373e-06	2.64073503161e-07	1.97138562889e-07	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__	7.42590639622	0.0594931098717	0.261189262851	1.0	4.7197919844e-05	0.000473912790214	4.33799453614e-05	0.000320595117651
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae	7.08383635362	0.0692730889123	0.289661369175	1.0	0.000469545284391	0.00051707832539	0.000673542542194	0.000533812273322
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	7.0658260962	0.0698290046522	0.289661369175	1.0	0.000446694861144	0.000994554442456	0.000352223081562	0.000257642983117
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae	7.03450380246	0.0708061124651	0.289661369175	1.0	4.23187435725e-06	1.2638132672e-05	9.63008227783e-08	2.73677930338e-07
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae	6.81720777162	0.0779579157332	0.311831662933	1.0	0.00120660938317	0.00065821274105	0.000974632892706	4.00378595075e-05
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae	6.51578951714	0.089041880027	0.348424747932	1.0	0.0129284694335	0.00208510292697	0.00193725096724	0.00197061781367
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae	6.41934217482	0.0928983037243	0.351006083248	1.0	0.000207575026111	0.00315529100237	0.0023916456884	0.000624253086041
k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__Gemellaceae	6.40216845776	0.0936016221995	0.351006083248	1.0	0.000723374383217	9.88809012003e-05	4.76908634785e-05	0.000864236990504
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae	6.29853573476	0.0979555028465	0.359836541069	1.0	3.04196469299e-05	9.40539699693e-07	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae	6.21973246327	0.10139564303	0.36018446505	1.0	1.30377468642e-05	3.49977489712e-07	2.20872410166e-07	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae	6.20498311298	0.102052265098	0.36018446505	1.0	0.0112472414809	0.00467096475297	0.00364451231853	0.00721909556215
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardiopsaceae	6.02054885369	0.110614747409	0.376614778286	1.0	8.30282046811e-07	0.000395861378577	0.0011471316801	6.80450223328e-05
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae	6.01480537164	0.110892129162	0.376614778286	1.0	0.0	1.39300986278e-06	2.45149229796e-06	3.64559870352e-06
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae	5.86599638385	0.118314951256	0.394383170853	1.0	0.00182431964796	0.00443114141977	0.010868889296	0.00142433342773
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]	5.82117133356	0.120642281922	0.39482928629	1.0	0.000858620827832	0.000865593886767	0.000857366313325	0.00108095958044
