sex	age_cat	chao1	observed_otus	shannon	simpson
female	20s	244.15798210840762	140.5901515151515	5.209481853788625	0.9234755818181818
female	30s	248.9739463495281	145.02952631578935	5.311543391574238	0.9262690967368422
female	40s	259.03683617245605	150.21485355648534	5.386811530287451	0.9296704097071125
female	50s	250.54420019314406	144.38406666666663	5.252601655660388	0.9200188888
female	teen	257.51214457030295	153.565	5.645020737525672	0.9537564266666666
male	20s	239.24159831008666	137.1164	5.139069714413291	0.9166077264000001
male	30s	246.73945357388027	141.59025316455688	5.195526926066707	0.917915656962025
male	40s	257.30954391912195	149.058962264151	5.395040256337743	0.9329364553773583
male	50s	254.938410983511	147.83165413533843	5.273992923453511	0.9173528921804518
male	teen	249.36417412188837	139.9109090909091	5.252746657713698	0.9295203763636363
