bmi_cat	age_cat	chao1	observed_otus	shannon	simpson
Normal	20s	252.09576396721005	145.42781954887218	5.312584286328971	0.9279537406015035
Normal	30s	250.1330909735291	144.79759856630838	5.278127519204264	0.9211952486738345
Normal	40s	263.91466953574866	153.6480811808119	5.464810676897403	0.934496569298894
Normal	50s	252.32249734213778	145.59374269005838	5.277422874325333	0.9217244287719292
Normal	teen	253.80220703143488	147.38631578947366	5.42353601551883	0.938966874736842
Obese	20s	266.1202435408187	142.75	5.344783924737439	0.9354284542857142
Obese	30s	214.23173184933967	123.47260869565217	4.895530617433567	0.9086369191304348
Obese	40s	236.70946636878685	137.50735849056602	5.1311935939395275	0.9142746984905661
Obese	50s	243.63559658337812	140.34290322580642	5.191456565739864	0.9133037877419354
Overweight	20s	214.43089316582453	123.7409375	4.936819653669691	0.9146965931249997
Overweight	30s	252.81678921365463	144.9940594059406	5.2862013538690364	0.9280173037623765
Overweight	40s	255.32437928206792	146.47770642201834	5.335422275650129	0.9308594785321104
Overweight	50s	259.39321172973894	149.88178082191783	5.273543036729592	0.9151652473972604
Overweight	teen	266.8548208387416	157.23333333333332	5.80887101649749	0.9637209800000001
Underweight	20s	197.3186717250109	111.85684210526313	4.426790102195986	0.8562853673684211
Underweight	30s	232.86019699940346	134.68541666666664	5.047310080838226	0.9116624466666666
Underweight	40s	249.11991484673842	145.58722222222224	5.381895128020315	0.933961822222222
Underweight	50s	246.02378301135113	142.70999999999998	5.106851594331073	0.907621615
Underweight	teen	183.33089412963912	108.71	5.025757848433676	0.93890524
