bmi_cat	sex	chao1	observed_otus	shannon	simpson
Normal	female	257.79667678949096	150.02923245614036	5.390655674637101	0.9287975076315788
Normal	male	252.40011701807336	145.4738609112711	5.293722996520167	0.9247085770263784
Obese	female	224.1758506578673	129.21925925925927	5.040975229758294	0.9208306025925928
Obese	male	246.38301355710234	141.66333333333333	5.178107388065282	0.9081795369999998
Overweight	female	249.86041612720499	143.36555555555552	5.258476524596247	0.9248156337373737
Overweight	male	252.17684637362916	145.1600913242009	5.27512179223649	0.9251378999086751
Underweight	female	239.5829204844515	138.64020833333333	5.106093720445922	0.9116928229166666
Underweight	male	203.33631513495263	116.99818181818182	4.677574463994766	0.8817843709090908
