sex	age_cat	chao1	observed_otus	shannon	simpson
female	20s	522.6600016671637	366.8384444444445	5.447248512478284	0.9272136538400001
female	30s	536.3916314907477	378.8589726027398	5.514198831533239	0.926253753475343
female	40s	551.0158741196404	388.8847093023254	5.600087436001932	0.9315044623499997
female	50s	548.8322830218557	386.7834313725491	5.506360872767548	0.9244776051568626
female	teen	569.5289911795727	400.33	5.877599286740807	0.9569339780249999
male	20s	524.8168578205048	362.35075471698116	5.357635525735902	0.9217764326509432
male	30s	531.7818361045905	380.0647878787879	5.497588672559066	0.927434161947879
male	40s	559.6497835385386	396.45415492957744	5.676317925694341	0.9376950853549297
male	50s	556.6339819971922	390.535744680851	5.504829848141259	0.9176589184489367
male	teen	521.0411099927486	369.36181818181825	5.447241411677246	0.9302609828363638
