race	sex	chao1	observed_otus	shannon	simpson
African American	female	417.77316223845094	297.9414285714286	5.110439403533717	0.9301899808571428
African American	male	449.04093714851433	321.63	5.0392661080677685	0.8879572618400001
Asian or Pacific Islander	female	470.97650759009855	324.0465384615385	5.098630372271147	0.9082783133846154
Asian or Pacific Islander	male	469.2059240427436	328.5672093023255	4.9723874487256206	0.8928420721627909
Caucasian	female	549.630075995891	388.3153720930235	5.577552150404174	0.9294699225120941
Caucasian	male	545.7225984799528	385.81399558498896	5.550419239621679	0.9297810077920536
Hispanic	female	544.893250041888	381.687	5.537183052366489	0.93266867428
Hispanic	male	659.0902240545119	450.95470588235287	6.18296411048396	0.9622420094823532
