age_cat	race	chao1	observed_otus	shannon	simpson
20s	Asian or Pacific Islander	207.42376222693002	116.89615384615384	4.717350671162757	0.8985455361538464
20s	Caucasian	240.6513577269956	138.37375	5.16184428494106	0.9182327405263159
20s	Hispanic	310.0305741617522	181.07923076923075	6.0633068963689425	0.967076856923077
30s	African American	192.4711028129443	108.018	4.444569547685461	0.8669849679999999
30s	Asian or Pacific Islander	213.87973518306825	124.18062499999999	4.911189934385864	0.9069956356250003
30s	Caucasian	251.491689521448	145.16590551181108	5.284319391984608	0.9236482317585295
30s	Hispanic	245.86243390219084	143.68555555555557	5.281105194993324	0.9170009377777778
40s	African American	205.81510239696127	123.79285714285713	5.073836681820032	0.9205623828571428
40s	Asian or Pacific Islander	235.58777312711413	139.25526315789475	5.22862547370928	0.9249202010526316
40s	Caucasian	259.93925158292114	150.5748325358853	5.400673577439053	0.9314068571291868
40s	Hispanic	258.50177183790726	151.49714285714285	5.572828303640167	0.9478054971428572
50s	Asian or Pacific Islander	197.01761240615724	112.77750000000002	4.276350932313566	0.8139689275
50s	Caucasian	254.6808460684322	147.00390334572475	5.293153282435543	0.9218643193308548
50s	Hispanic	253.07612804909016	147.32333333333335	5.18814650830108	0.9170129
teen	African American	265.3982362790093	150.25	5.517203882276075	0.9505304200000003
teen	Asian or Pacific Islander	213.965708016063	129.89666666666668	5.26213416871319	0.94095224
teen	Caucasian	258.105338295754	149.63823529411764	5.482742330413672	0.9415923494117645
teen	Hispanic	255.52558944405507	148.48000000000002	5.494664593667925	0.9449908600000001
