OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Obese_mean	Overweight_mean	Normal_mean
k__Bacteria; p__Firmicutes	10.4706733469	0.00532503138522	0.0500613516449	0.0585753452374	0.277914646476	0.335106767566	0.260219421642
k__Bacteria; p__Fusobacteria	9.39850817017	0.00910206393543	0.0500613516449	0.10012270329	0.00172138929774	3.19171129497e-06	0.000280248071695
k__Bacteria; p__Bacteroidetes	8.05394880999	0.0178281893148	0.0653700274877	0.196110082463	0.681864120723	0.624046983052	0.693718174689
k__Bacteria; p__Cyanobacteria	4.46200155247	0.107420872068	0.295407398188	1.0	1.3179658515e-05	0.000896386402545	0.000771025045835
k__Bacteria; p__Lentisphaerae	3.07505453484	0.214911864508	0.472806101918	1.0	6.6861959316e-06	0.00012492397743	0.000131492447757
k__Bacteria; p__Synergistetes	2.3932961235	0.302205490236	0.554043398766	1.0	1.72451650904e-05	5.67577970839e-06	1.17171504723e-05
k__Bacteria; p__Verrucomicrobia	1.37235444285	0.503497152915	0.781463329361	1.0	0.00115446179953	0.00285789568241	0.00306844965982
k__Bacteria; p__Actinobacteria	0.902730435661	0.636758244242	0.781463329361	1.0	0.002156183318	0.00241553553911	0.00160463208469
k__Bacteria; p__Proteobacteria	0.894515498172	0.639379087659	0.781463329361	1.0	0.0258448430677	0.0263464943403	0.0305062090727
k__Bacteria; p__Tenericutes	0.645316173076	0.724221433098	0.786297313083	1.0	0.00690027467613	0.00580589437081	0.00740212849366
Unassigned	0.480840594311	0.786297313083	0.786297313083	1.0	0.00240696962252	0.00239025157827	0.00228650164241
