OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Obese_mean	Overweight_mean	Normal_mean
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae	1.80242671786	0.406076643977	0.622128875215	1.0	0.000266861145617	0.000195177425288	0.000214490915623
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae	1.71869159844	0.423439005853	0.622128875215	1.0	5.16539597926e-06	7.97859322896e-05	5.69230674987e-05
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__	1.69702635766	0.428050894182	0.622128875215	1.0	0.0011344086933	0.00356315717506	0.00697872609405
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Succinivibrionaceae	1.6846655859	0.430704605918	0.622128875215	1.0	0.0	0.0	0.000314708349306
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae	1.30563627013	0.520576652319	0.716873883868	1.0	0.00116052814957	0.00113902376961	0.00056792903752
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]	1.29302581379	0.523869376673	0.716873883868	1.0	0.00673487697497	0.00794972664574	0.00909926553162
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]	1.2186385303	0.543720872869	0.724961163826	1.0	2.02735864265e-05	7.26449128229e-05	1.18738411918e-05
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	0.788164972385	0.674298433636	0.833830779345	1.0	2.13442924527e-05	7.44866658853e-05	3.53822723658e-05
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae	0.777609859026	0.677866488864	0.833830779345	1.0	0.0	1.313592324e-05	1.20619989155e-05
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae	0.745211391276	0.688936830092	0.833830779345	1.0	0.000992085062743	0.00126848761316	0.00103313286816
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae	0.743536805124	0.68951391369	0.833830779345	1.0	0.0242818533628	0.0239860288026	0.0235716077123
k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__[Cerasicoccales]; f__[Cerasicoccaceae]	0.579806206194	0.748336075514	0.869945963411	1.0	5.24463604848e-06	9.12223826842e-05	7.58698591146e-05
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7	0.542274630566	0.762511784695	0.869945963411	1.0	0.00573156311539	0.00983071329393	0.00931534344427
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae	0.504228839602	0.777155810968	0.869945963411	1.0	5.16539597926e-06	5.18705828957e-06	2.50686954429e-05
Unassigned	0.480840594311	0.786297313083	0.869945963411	1.0	0.00240696962252	0.00239025157827	0.00228650164241
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]	0.328091048221	0.848703384534	0.919428666579	1.0	0.000441849474094	0.000358717753923	0.000353118090057
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae	0.189410272202	0.909641115254	0.950388262633	1.0	0.0232078400495	0.0210839265493	0.0205641252031
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae	0.180210787053	0.913834867916	0.950388262633	1.0	0.0251796850771	0.018505887696	0.0348883504035
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae	0.0498509968242	0.975382576872	0.982131491845	1.0	0.00387170150262	0.00623482483535	0.00602769126402
k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__	0.0360601550191	0.982131491845	0.982131491845	1.0	0.00570883072932	0.0036455650001	0.00560177601379
