OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Obese_mean	Overweight_mean	Normal_mean
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]	13.632926028	0.0010955891608	0.0498307577633	0.118323629367	0.0117481700639	0.00302940122742	0.00302775483756
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__	13.3267719934	0.00127681574885	0.0498307577633	0.137896100875	1.89481588539e-05	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea	13.1652835966	0.00138418771565	0.0498307577633	0.14949227329	0.0041933047176	0.00356771712105	0.00225420361083
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__	10.6063429901	0.00497578816882	0.0954415616786	0.537385122233	1.0489272097e-05	0.000182331161521	0.000225079972759
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__	10.359267859	0.00563006703872	0.0954415616786	0.608047240182	0.0358351814154	0.0444238997833	0.0256274629136
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__	10.1473109826	0.00625949673231	0.0954415616786	0.67602564709	6.82736754881e-05	2.91634465361e-06	6.19913214367e-06
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae; g__	10.0060933331	0.00671744996113	0.0954415616786	0.725484595802	0.000160277881405	0.000306380939328	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium	9.90386164767	0.00706974530953	0.0954415616786	0.763532493429	0.0396905587124	0.0496450332954	0.0351040917795
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium	9.39850817017	0.00910206393543	0.109224767225	0.983022905027	0.00172138929774	3.19171129497e-06	0.000280248071695
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__	8.86709948447	0.0118722712822	0.128220529847	1.0	0.0220968949055	0.0362566572374	0.0261168916692
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__Paraprevotella	7.67211924139	0.0215784613676	0.211861257063	1.0	0.00672543510833	0.00340711447454	0.0129304975884
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae; g__	7.44706373665	0.0241485276329	0.217336748696	1.0	0.000169669656521	7.48218046357e-05	5.59581400367e-05
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Holdemania	7.24978951985	0.0266519020369	0.221415801537	1.0	0.000289717960294	9.56718115722e-05	0.000167868442116
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__	7.09637462887	0.0287767556146	0.221992114741	1.0	1.1417885476e-05	0.0	2.66169393732e-05
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Citrobacter	6.25845072895	0.0437516757316	0.314380517092	1.0	0.0	2.76647240226e-05	0.0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Klebsiella	6.10593118413	0.0472186851898	0.314380517092	1.0	4.95721199299e-05	6.72172967361e-05	8.3747248768e-06
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Anaerotruncus	6.0121381439	0.0494858221349	0.314380517092	1.0	0.00018830057234	6.72727542265e-05	0.000113176516009
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__	5.83953802812	0.0539461466627	0.323676879976	1.0	0.00218542672032	0.0018547650195	0.00110860966767
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Propionibacteriaceae; g__Propionibacterium	5.70527921846	0.0576918358104	0.327932540396	1.0	3.57010569307e-06	8.02415633949e-06	3.57017900878e-06
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus	4.82653202211	0.0895224353284	0.46539889341	1.0	0.0157921304725	0.0260603441892	0.0223558181101
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Megasphaera	4.66717381158	0.0969473815615	0.46539889341	1.0	0.000183724846165	0.000431936084062	0.000139073582695
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]; g__	4.58501893791	0.101012655405	0.46539889341	1.0	0.00619238121651	0.0107704088598	0.0130813086753
k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__; g__	4.46200155247	0.107420872068	0.46539889341	1.0	1.3179658515e-05	0.000896386402545	0.000771025045835
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Acidaminococcus	4.30364698227	0.116271943489	0.46539889341	1.0	0.001219032689	0.000927554147424	0.00135016061951
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Catenibacterium	4.30300962678	0.116309002674	0.46539889341	1.0	0.000370485076464	0.000761071750884	8.25863795012e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia	4.25558384339	0.119099985818	0.46539889341	1.0	0.00781253706879	0.00978095301975	0.00680130166484
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia	4.15828386963	0.125037456469	0.46539889341	1.0	0.0	3.60583874274e-05	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]; g__Barnesiella	4.15828386963	0.125037456469	0.46539889341	1.0	0.0	1.26604355425e-05	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae; g__Dehalobacterium	4.11223205092	0.127949960453	0.46539889341	1.0	9.23052525781e-05	0.000111183494837	7.3894138771e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__	4.05098124062	0.131929100211	0.46539889341	1.0	0.0634731619598	0.0827130065267	0.0664401808404
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	4.02600885695	0.133586719405	0.46539889341	1.0	0.00105021208595	0.00118287291669	0.000933743245688
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	3.93025613044	0.140137938671	0.472965543014	1.0	0.559127736729	0.478755140028	0.52471024951
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Bilophila	3.45925387715	0.177350560283	0.532352857909	1.0	8.83415469017e-05	0.000195770347376	0.000118672544716
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella	3.43653839605	0.17937634432	0.532352857909	1.0	6.1548061108e-05	0.000329834248666	0.000277535271735
