OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Obese_mean	Overweight_mean	Normal_mean
k__Bacteria; p__Firmicutes; c__Clostridia	10.4093599335	0.00549080740079	0.0910206393543	0.109816148016	0.273647459239	0.328369067945	0.253748119902
k__Bacteria; p__Fusobacteria; c__Fusobacteriia	9.39850817017	0.00910206393543	0.0910206393543	0.182041278709	0.00172138929774	3.19171129497e-06	0.000280248071695
k__Bacteria; p__Bacteroidetes; c__Bacteroidia	8.05394880999	0.0178281893148	0.118854595432	0.356563786296	0.681864120723	0.624046983052	0.693718174689
k__Bacteria; p__Cyanobacteria; c__4C0d-2	4.46200155247	0.107420872068	0.475362281012	1.0	1.3179658515e-05	0.000896386402545	0.000771025045835
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	4.25994485981	0.118840570253	0.475362281012	1.0	0.00028035358641	0.000287288376884	0.000198234039723
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]	3.07505453484	0.214911864508	0.560987801579	1.0	6.6861959316e-06	0.00012492397743	0.000131492447757
k__Bacteria; p__Tenericutes; c__RF3	2.82576320234	0.243440772247	0.560987801579	1.0	0.00103116606541	0.00185394843138	0.00180035247987
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	2.46171235689	0.292042430177	0.560987801579	1.0	0.00120089644604	0.00125112739829	0.00271767946457
k__Bacteria; p__Firmicutes; c__Bacilli	2.42817051489	0.296981551746	0.560987801579	1.0	0.000395485734075	0.000502874784992	0.000443610476714
k__Bacteria; p__Synergistetes; c__Synergistia	2.3932961235	0.302205490236	0.560987801579	1.0	1.72451650904e-05	5.67577970839e-06	1.17171504723e-05
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae	2.35002063865	0.308815792901	0.560987801579	1.0	0.00114921716348	0.00276667329972	0.0029925798007
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	2.17776348306	0.336592680947	0.560987801579	1.0	0.0011344086933	0.00357206053236	0.00697872609405
k__Bacteria; p__Actinobacteria; c__Actinobacteria	1.26634786269	0.530904070983	0.81677549382	1.0	0.00116409825526	0.00114704792595	0.000571499216529
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria	0.777609859026	0.677866488864	0.918582440122	1.0	0.0	1.313592324e-05	1.20619989155e-05
k__Bacteria; p__Actinobacteria; c__Coriobacteriia	0.745211391276	0.688936830092	0.918582440122	1.0	0.000992085062743	0.00126848761316	0.00103313286816
k__Bacteria; p__Verrucomicrobia; c__Opitutae	0.579806206194	0.748336075514	0.925055662451	1.0	5.24463604848e-06	9.12223826842e-05	7.58698591146e-05
Unassigned	0.480840594311	0.786297313083	0.925055662451	1.0	0.00240696962252	0.00239025157827	0.00228650164241
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria	0.256108437313	0.87980567597	0.971034913529	1.0	0.0232291843419	0.0212228821095	0.0205995074754
k__Bacteria; p__Tenericutes; c__Mollicutes	0.161372298928	0.922483167853	0.971034913529	1.0	0.00586910861072	0.00395194593943	0.00560177601379
k__Bacteria; p__Firmicutes; c__Erysipelotrichi	0.0498509968242	0.975382576872	0.975382576872	1.0	0.00387170150262	0.00623482483535	0.00602769126402
